2024;;;
name_;code_;male_;female_
Kirchberg an der Pielach;<31918>;1563;1579
Kirchstetten;<31919>;1107;1158
Loich;<31920>;274;277
Maria Anzbach;<31921>;1577;1699
Markersdorf-Haindorf;<31922>;1029;1029
Michelbach;<31923>;435;417
Neidling;<31925>;751;780
Neulengbach;<31926>;4221;4440
Neustift-Innermanzing;<31927>;777;791
Nußdorf ob der Traisen;<31928>;942;961
Ober-Grafendorf;<31929>;2447;2475
Obritzberg-Rust;<31930>;1187;1159
Prinzersdorf;<31932>;820;887
Pyhra;<31934>;1782;1811
Rabenstein an der Pielach;<31935>;1249;1222
St. Margarethen an der Sierning;<31938>;536;502
Schwarzenbach an der Pielach;<31939>;194;154
Statzendorf;<31940>;689;731
Stössing;<31941>;419;417
Traismauer;<31943>;3234;3283
Weinburg;<31945>;698;701
Perschling;<31946>;782;770
Wilhelmsburg;<31947>;3194;3295
Wölbling;<31948>;1242;1209
Krems an der Donau;<30101>;12397;12966
Amaliendorf-Aalfang;<30902>;552;555
Bad Großpertholz;<30910>;676;610
Brand-Nagelberg;<30903>;723;732
Eggern;<30904>;342;336
Eisgarn;<30906>;366;347
Gmünd;<30908>;2510;2636
Großdietmanns;<30909>;1114;1067
Großschönau;<30912>;624;594
Haugschlag;<30915>;250;231
Heidenreichstein;<30916>;1828;1907
Hirschbach;<30917>;297;290
Hoheneich;<30920>;669;719
Kirchberg am Walde;<30921>;635;630
Litschau;<30925>;1048;1058
Moorbad Harbach;<30913>;365;331
Reingers;<30929>;312;298
St. Martin;<30932>;535;536
Schrems;<30935>;2561;2702
Unserfrau-Altweitra;<30939>;498;479
Waldenstein;<30940>;603;576
Weitra;<30942>;1257;1334
Altenburg;<31101>;408;418
Brunn an der Wild;<31102>;429;431
Burgschleinitz-Kühnring;<31103>;688;622
Drosendorf-Zissersdorf;<31104>;573;605
Eggenburg;<31105>;1671;1837
Gars am Kamp;<31106>;1727;1748
Geras;<31107>;642;632
Horn;<31109>;3089;3416
Irnfritz-Messern;<31110>;711;710
Japons;<31111>;355;340
Langau;<31113>;339;351
Meiseldorf;<31114>;432;428
Pernegg;<31117>;344;346
Röhrenbach;<31119>;248;238
Röschitz;<31120>;552;569
Rosenburg-Mold;<31121>;418;439
